Category,Sms,cleaned_text,tokens,filtered_tokens,final_text
scam,Nitumie tu kwenye hii voda 0699137921 jina JUMANNE YASINI MASAKA.,nitumie tu kwenye hii voda jina jumanne yasini masaka,"['nitumie', 'tu', 'kwenye', 'hii', 'voda', 'jina', 'jumanne', 'yasini', 'masaka']","['nitumie', 'hii', 'voda', 'jina', 'jumanne', 'yasini', 'masaka']",nitumie hii voda jina jumanne yasini masaka
scam,Hela tuma kwa namba hii 0655251448 jina LINUSI MALALO,hela tuma kwa namba hii jina linusi malalo,"['hela', 'tuma', 'kwa', 'namba', 'hii', 'jina', 'linusi', 'malalo']","['hela', 'tuma', 'namba', 'hii', 'jina', 'linusi', 'malalo']",hela tuma namba hii jina linusi malalo
scam,Utanitumia kwa hîi tigo 0657666983 j'ina ni ABDALLAH MWANAKU.,utanitumia kwa hi tigo jina ni abdallah mwanaku,"['utanitumia', 'kwa', 'hi', 'tigo', 'jina', 'ni', 'abdallah', 'mwanaku']","['utanitumia', 'hi', 'tigo', 'jina', 'abdallah', 'mwanaku']",utanitumia hi tigo jina abdallah mwanaku
trust,"Dah, umesikia kuhusu drama ya Aunt Ezekiel na mashabiki wake kwenye Insta Live?",dah umesikia kuhusu drama ya aunt ezekiel na mashabiki wake kwenye insta live,"['dah', 'umesikia', 'kuhusu', 'drama', 'ya', 'aunt', 'ezekiel', 'na', 'mashabiki', 'wake', 'kwenye', 'insta', 'live']","['dah', 'umesikia', 'kuhusu', 'drama', 'aunt', 'ezekiel', 'mashabiki', 'insta', 'live']",dah umesikia kuhusu drama aunt ezekiel mashabiki insta live
scam,"Tigo CQGZ Imethibitishwa namba yako ya 078 ... imeshinda Tsh10,000,000.00/=million kutoka TUZO  POINTI ilikupokea Hela yako piga 0787-406-889 Asante",tigo cqgz imethibitishwa namba yako ya imeshinda tshmillion kutoka tuzo pointi ilikupokea hela yako piga asante,"['tigo', 'cqgz', 'imethibitishwa', 'namba', 'yako', 'ya', 'imeshinda', 'tshmillion', 'kutoka', 'tuzo', 'pointi', 'ilikupokea', 'hela', 'yako', 'piga', 'asante']","['tigo', 'cqgz', 'imethibitishwa', 'namba', 'yako', 'imeshinda', 'tshmillion', 'tuzo', 'pointi', 'ilikupokea', 'hela', 'yako', 'piga', 'asante']",tigo cqgz imethibitishwa namba yako imeshinda tshmillion tuzo pointi ilikupokea hela yako piga asante
scam,au iyo ela nitumie kwenye M-Pesa hii 0676584303 Jina litoke 0676584303.,au iyo ela nitumie kwenye mpesa hii jina litoke,"['au', 'iyo', 'ela', 'nitumie', 'kwenye', 'mpesa', 'hii', 'jina', 'litoke']","['au', 'iyo', 'ela', 'nitumie', 'mpesa', 'hii', 'jina', 'litoke']",au iyo ela nitumie mpesa hii jina litoke
scam,Samahani naomba itume kwenye tigo 0654321098 ABDALLAH MWANAKU.,samahani naomba itume kwenye tigo abdallah mwanaku,"['samahani', 'naomba', 'itume', 'kwenye', 'tigo', 'abdallah', 'mwanaku']","['samahani', 'naomba', 'itume', 'tigo', 'abdallah', 'mwanaku']",samahani naomba itume tigo abdallah mwanaku
scam,Utanitumia. kwemye namba 0784862618 ya airtel jina HOSEA MKUMBUKWA.,utanitumia kwemye namba ya airtel jina hosea mkumbukwa,"['utanitumia', 'kwemye', 'namba', 'ya', 'airtel', 'jina', 'hosea', 'mkumbukwa']","['utanitumia', 'kwemye', 'namba', 'airtel', 'jina', 'hosea', 'mkumbukwa']",utanitumia kwemye namba airtel jina hosea mkumbukwa
trust,Chukua maua yako,chukua maua yako,"['chukua', 'maua', 'yako']","['chukua', 'maua', 'yako']",chukua maua yako
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0781476081 au 0781476081",karibu ujiunge na chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba na magari bila kafala piga au,"['karibu', 'ujiunge', 'na', 'chama', 'cha', 'freemason', 'ubadilishe', 'maisha', 'yakomiliki', 'malipesautajiri', 'majumba', 'na', 'magari', 'bila', 'kafala', 'piga', 'au']","['ujiunge', 'chama', 'freemason', 'ubadilishe', 'maisha', 'yakomiliki', 'malipesautajiri', 'majumba', 'magari', 'kafala', 'piga', 'au']",ujiunge chama freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari kafala piga au
scam,"IYO PESA ITUME KWENYE NAMBA HII 0783582817 JINA ITALETA PETER NYANGE NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba hii jina italeta peter nyange nimeazima simu kwa wakala hapa laini yangu natatizo upande wa kupokea pesa asante,"['iyo', 'pesa', 'itume', 'kwenye', 'namba', 'hii', 'jina', 'italeta', 'peter', 'nyange', 'nimeazima', 'simu', 'kwa', 'wakala', 'hapa', 'laini', 'yangu', 'natatizo', 'upande', 'wa', 'kupokea', 'pesa', 'asante']","['iyo', 'pesa', 'itume', 'namba', 'hii', 'jina', 'italeta', 'peter', 'nyange', 'nimeazima', 'simu', 'wakala', 'hapa', 'laini', 'natatizo', 'upande', 'kupokea', 'pesa', 'asante']",iyo pesa itume namba hii jina italeta peter nyange nimeazima simu wakala hapa laini natatizo upande kupokea pesa asante
scam,MPIGIE MZEE RAMATUNGU WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0747878264,mpigie mzee ramatungu wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba,"['mpigie', 'mzee', 'ramatungu', 'wa', 'tiba', 'asili', 'mali', 'pete', 'nyota', 'uzazi', 'kupandishwa', 'cheo', 'kazini', 'kuludisha', 'mali', 'iliyopotea', 'namba']","['mpigie', 'mzee', 'ramatungu', 'tiba', 'asili', 'mali', 'pete', 'nyota', 'uzazi', 'kupandishwa', 'cheo', 'kazini', 'kuludisha', 'mali', 'iliyopotea', 'namba']",mpigie mzee ramatungu tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
trust,"Tunaweza kuandaa tukio la pamoja mwezi ujao, hebu fikiria wazo hili.",tunaweza kuandaa tukio la pamoja mwezi ujao hebu fikiria wazo hili,"['tunaweza', 'kuandaa', 'tukio', 'la', 'pamoja', 'mwezi', 'ujao', 'hebu', 'fikiria', 'wazo', 'hili']","['tunaweza', 'kuandaa', 'tukio', 'mwezi', 'ujao', 'hebu', 'fikiria', 'wazo', 'hili']",tunaweza kuandaa tukio mwezi ujao hebu fikiria wazo hili
trust,Mashindano ya CAF Champions League mwaka huu yana ushindani mkubwa sana.,mashindano ya caf champions league mwaka huu yana ushindani mkubwa sana,"['mashindano', 'ya', 'caf', 'champions', 'league', 'mwaka', 'huu', 'yana', 'ushindani', 'mkubwa', 'sana']","['mashindano', 'caf', 'champions', 'league', 'mwaka', 'huu', 'yana', 'ushindani']",mashindano caf champions league mwaka huu yana ushindani
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Halotel NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko ni mimi mwenye nyumba wako mna endereaje apo nyumbani iyo namba yangu mpya ya halotel nakumbushia kodi yangu mana naona kimya sana naomba tuwa siriane,"['habari', 'zauko', 'ni', 'mimi', 'mwenye', 'nyumba', 'wako', 'mna', 'endereaje', 'apo', 'nyumbani', 'iyo', 'namba', 'yangu', 'mpya', 'ya', 'halotel', 'nakumbushia', 'kodi', 'yangu', 'mana', 'naona', 'kimya', 'sana', 'naomba', 'tuwa', 'siriane']","['habari', 'zauko', 'nyumba', 'wako', 'mna', 'endereaje', 'apo', 'nyumbani', 'iyo', 'namba', 'mpya', 'halotel', 'nakumbushia', 'kodi', 'mana', 'naona', 'kimya', 'naomba', 'tuwa', 'siriane']",habari zauko nyumba wako mna endereaje apo nyumbani iyo namba mpya halotel nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,0675259049 Jina litakuja HADIJA LAI Nitumie kwenye hiyo Halotel,jina litakuja hadija lai nitumie kwenye hiyo halotel,"['jina', 'litakuja', 'hadija', 'lai', 'nitumie', 'kwenye', 'hiyo', 'halotel']","['jina', 'litakuja', 'hadija', 'lai', 'nitumie', 'halotel']",jina litakuja hadija lai nitumie halotel
scam,0755896103 Jina litakuja KHADIJA SUMBAI Nitumie kwenye hiyo voda,jina litakuja khadija sumbai nitumie kwenye hiyo voda,"['jina', 'litakuja', 'khadija', 'sumbai', 'nitumie', 'kwenye', 'hiyo', 'voda']","['jina', 'litakuja', 'khadija', 'sumbai', 'nitumie', 'voda']",jina litakuja khadija sumbai nitumie voda
trust,Nasikia Konde Gang wanapanga kufanya tamasha kubwa Dodoma mwaka huu.,nasikia konde gang wanapanga kufanya tamasha kubwa dodoma mwaka huu,"['nasikia', 'konde', 'gang', 'wanapanga', 'kufanya', 'tamasha', 'kubwa', 'dodoma', 'mwaka', 'huu']","['nasikia', 'konde', 'gang', 'wanapanga', 'kufanya', 'tamasha', 'dodoma', 'mwaka', 'huu']",nasikia konde gang wanapanga kufanya tamasha dodoma mwaka huu
scam,Utanitumia kwenye ii 0615810764 Vodacom jina LUKA KIMBANGU namba yangu inadeni usiitumie,utanitumia kwenye ii vodacom jina luka kimbangu namba yangu inadeni usiitumie,"['utanitumia', 'kwenye', 'ii', 'vodacom', 'jina', 'luka', 'kimbangu', 'namba', 'yangu', 'inadeni', 'usiitumie']","['utanitumia', 'ii', 'vodacom', 'jina', 'luka', 'kimbangu', 'namba', 'inadeni', 'usiitumie']",utanitumia ii vodacom jina luka kimbangu namba inadeni usiitumie
scam,"Mpigie Mzee LINUSI MALALO kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657538690",mpigie mzee linusi malalo kwa tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga,"['mpigie', 'mzee', 'linusi', 'malalo', 'kwa', 'tiba', 'asili', 'miliki', 'maliutajiri', 'petekazikesimasomo', 'mapenzikilimoufugajibiashara', 'piga']","['mpigie', 'mzee', 'linusi', 'malalo', 'tiba', 'asili', 'miliki', 'maliutajiri', 'petekazikesimasomo', 'mapenzikilimoufugajibiashara', 'piga']",mpigie mzee linusi malalo tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Iyo ela tuma humu kwenye tigo 0689592818 Jina lije Magomba Maila.,iyo ela tuma humu kwenye tigo jina lije magomba maila,"['iyo', 'ela', 'tuma', 'humu', 'kwenye', 'tigo', 'jina', 'lije', 'magomba', 'maila']","['iyo', 'ela', 'tuma', 'humu', 'tigo', 'jina', 'lije', 'magomba', 'maila']",iyo ela tuma humu tigo jina lije magomba maila
scam,Au nitumie kwenye HaloPesa Namba.0786543210 jina litakuja SALOME KALUNGA,au nitumie kwenye halopesa namba jina litakuja salome kalunga,"['au', 'nitumie', 'kwenye', 'halopesa', 'namba', 'jina', 'litakuja', 'salome', 'kalunga']","['au', 'nitumie', 'halopesa', 'namba', 'jina', 'litakuja', 'salome', 'kalunga']",au nitumie halopesa namba jina litakuja salome kalunga
scam,Utanitumia kwenye ii 0615810764 airtel jina MARIAM NDUGAI namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina mariam ndugai namba yangu inadeni usiitumie,"['utanitumia', 'kwenye', 'ii', 'airtel', 'jina', 'mariam', 'ndugai', 'namba', 'yangu', 'inadeni', 'usiitumie']","['utanitumia', 'ii', 'airtel', 'jina', 'mariam', 'ndugai', 'namba', 'inadeni', 'usiitumie']",utanitumia ii airtel jina mariam ndugai namba inadeni usiitumie
trust,"Bro, uliona VAR ilivyoamua ile offside? Nafikiri hawakuwa sahihi.",bro uliona var ilivyoamua ile offside nafikiri hawakuwa sahihi,"['bro', 'uliona', 'var', 'ilivyoamua', 'ile', 'offside', 'nafikiri', 'hawakuwa', 'sahihi']","['bro', 'uliona', 'var', 'ilivyoamua', 'ile', 'offside', 'nafikiri', 'hawakuwa', 'sahihi']",bro uliona var ilivyoamua ile offside nafikiri hawakuwa sahihi
scam,Iyo Hela itume humu kwenye HALOTEL 0787-406-889 jina lije ABDALLAH MWANAKU.,iyo hela itume humu kwenye halotel jina lije abdallah mwanaku,"['iyo', 'hela', 'itume', 'humu', 'kwenye', 'halotel', 'jina', 'lije', 'abdallah', 'mwanaku']","['iyo', 'hela', 'itume', 'humu', 'halotel', 'jina', 'lije', 'abdallah', 'mwanaku']",iyo hela itume humu halotel jina lije abdallah mwanaku
scam,"IYO PESA ITUME KWENYE NAMBA HII 0786543210 JINA ITALETA RAMATUNGU NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba hii jina italeta ramatungu nimeazima simu kwa wakala hapa laini yangu natatizo upande wa kupokea pesa asante,"['iyo', 'pesa', 'itume', 'kwenye', 'namba', 'hii', 'jina', 'italeta', 'ramatungu', 'nimeazima', 'simu', 'kwa', 'wakala', 'hapa', 'laini', 'yangu', 'natatizo', 'upande', 'wa', 'kupokea', 'pesa', 'asante']","['iyo', 'pesa', 'itume', 'namba', 'hii', 'jina', 'italeta', 'ramatungu', 'nimeazima', 'simu', 'wakala', 'hapa', 'laini', 'natatizo', 'upande', 'kupokea', 'pesa', 'asante']",iyo pesa itume namba hii jina italeta ramatungu nimeazima simu wakala hapa laini natatizo upande kupokea pesa asante
scam,MZEE HADIJA LAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0782435667)(0782435667),mzee hadija lai tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga,"['mzee', 'hadija', 'lai', 'tiba', 'asili', 'biashala', 'kazi', 'masomo', 'utajili', 'kesi', 'kuludisha', 'mkemume', 'piga']","['mzee', 'hadija', 'lai', 'tiba', 'asili', 'biashala', 'kazi', 'masomo', 'utajili', 'kesi', 'kuludisha', 'mkemume', 'piga']",mzee hadija lai tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,Iyo Pesa itume humu kwenye TIGO 0747878264 jina lije JOACHIM KAPUFI.,iyo pesa itume humu kwenye tigo jina lije joachim kapufi,"['iyo', 'pesa', 'itume', 'humu', 'kwenye', 'tigo', 'jina', 'lije', 'joachim', 'kapufi']","['iyo', 'pesa', 'itume', 'humu', 'tigo', 'jina', 'lije', 'joachim', 'kapufi']",iyo pesa itume humu tigo jina lije joachim kapufi
trust,"Usikate tamaa, kila kitu kitaenda sawa.",usikate tamaa kila kitu kitaenda sawa,"['usikate', 'tamaa', 'kila', 'kitu', 'kitaenda', 'sawa']","['usikate', 'tamaa', 'kitu', 'kitaenda', 'sawa']",usikate tamaa kitu kitaenda sawa
trust,"Nimepokea taarifa kuhusu malipo, nafuatilia ili kuhakikisha kila kitu kiko sawa.",nimepokea taarifa kuhusu malipo nafuatilia ili kuhakikisha kila kitu kiko sawa,"['nimepokea', 'taarifa', 'kuhusu', 'malipo', 'nafuatilia', 'ili', 'kuhakikisha', 'kila', 'kitu', 'kiko', 'sawa']","['nimepokea', 'taarifa', 'kuhusu', 'malipo', 'nafuatilia', 'kuhakikisha', 'kitu', 'kiko', 'sawa']",nimepokea taarifa kuhusu malipo nafuatilia kuhakikisha kitu kiko sawa
trust,Unapenda pizza au chips kuku?,unapenda pizza au chips kuku,"['unapenda', 'pizza', 'au', 'chips', 'kuku']","['unapenda', 'pizza', 'au', 'chips', 'kuku']",unapenda pizza au chips kuku
